IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.248.220,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,3150 kB/s
8.219.200.145,2087,true,SIN,Asia Pacific,Singapore,288 ms,3150 kB/s
8.219.200.145,2083,true,SIN,Asia Pacific,Singapore,290 ms,3142 kB/s
8.219.170.232,8443,true,SIN,Asia Pacific,Singapore,286 ms,3139 kB/s
8.218.3.12,2096,true,HKG,Asia Pacific,Hong Kong,56 ms,3138 kB/s
8.210.3.24,2096,true,HKG,Asia Pacific,Hong Kong,68 ms,3132 kB/s
8.219.237.250,8443,true,SIN,Asia Pacific,Singapore,305 ms,3126 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,303 ms,3116 kB/s
47.245.96.80,2083,true,SIN,Asia Pacific,Singapore,318 ms,3113 kB/s
8.222.137.192,2087,true,SIN,Asia Pacific,Singapore,297 ms,3111 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,284 ms,3106 kB/s
8.219.98.13,2087,true,SIN,Asia Pacific,Singapore,279 ms,3097 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,280 ms,3095 kB/s
8.210.39.96,8443,true,HKG,Asia Pacific,Hong Kong,72 ms,3092 kB/s
47.236.80.110,2083,true,SIN,Asia Pacific,Singapore,280 ms,3087 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,324 ms,3087 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,308 ms,3084 kB/s
8.219.222.98,2087,true,SIN,Asia Pacific,Singapore,281 ms,3069 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,313 ms,3068 kB/s
8.222.183.242,2087,true,SIN,Asia Pacific,Singapore,296 ms,3065 kB/s
47.236.145.85,2053,true,SIN,Asia Pacific,Singapore,288 ms,3023 kB/s
8.218.173.78,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,2977 kB/s
47.236.146.249,2096,true,SIN,Asia Pacific,Singapore,285 ms,2968 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,295 ms,2957 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,2954 kB/s
47.236.85.11,8443,true,SIN,Asia Pacific,Singapore,281 ms,2925 kB/s
47.76.77.103,2096,true,HKG,Asia Pacific,Hong Kong,71 ms,2901 kB/s
47.236.80.110,2053,true,SIN,Asia Pacific,Singapore,291 ms,2900 kB/s
8.222.191.138,2087,true,SIN,Asia Pacific,Singapore,313 ms,2889 kB/s
47.245.102.52,2096,true,SIN,Asia Pacific,Singapore,314 ms,2889 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,284 ms,2873 kB/s
8.222.193.65,2087,true,SIN,Asia Pacific,Singapore,295 ms,2831 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,300 ms,2830 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,280 ms,2822 kB/s
47.236.146.249,2083,true,SIN,Asia Pacific,Singapore,282 ms,2820 kB/s
47.245.126.151,2083,true,SIN,Asia Pacific,Singapore,291 ms,2808 kB/s
8.222.208.38,2087,true,SIN,Asia Pacific,Singapore,279 ms,2808 kB/s
8.219.98.13,8443,true,SIN,Asia Pacific,Singapore,278 ms,2797 kB/s
47.242.232.14,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,2787 kB/s
8.222.164.209,2096,true,SIN,Asia Pacific,Singapore,291 ms,2782 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,284 ms,2774 kB/s
8.222.181.117,2083,true,SIN,Asia Pacific,Singapore,307 ms,2735 kB/s
47.236.146.249,2053,true,SIN,Asia Pacific,Singapore,290 ms,2720 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,287 ms,2704 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,2649 kB/s
47.245.102.52,2053,true,SIN,Asia Pacific,Singapore,313 ms,2594 kB/s
47.236.232.148,8443,true,SIN,Asia Pacific,Singapore,279 ms,2591 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,287 ms,2581 kB/s
47.238.52.160,80,true,SIN,Asia Pacific,Singapore,76 ms,2575 kB/s
8.219.98.13,2083,true,SIN,Asia Pacific,Singapore,283 ms,2566 kB/s
8.219.126.240,2087,true,SIN,Asia Pacific,Singapore,278 ms,2489 kB/s
8.219.126.240,2083,true,SIN,Asia Pacific,Singapore,301 ms,2428 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,281 ms,2425 kB/s
47.236.232.148,2087,true,SIN,Asia Pacific,Singapore,280 ms,2418 kB/s
8.219.4.122,2083,true,SIN,Asia Pacific,Singapore,283 ms,2387 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,310 ms,2383 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,280 ms,2377 kB/s
8.218.211.124,80,true,SIN,Asia Pacific,Singapore,62 ms,2368 kB/s
8.210.21.65,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,2333 kB/s
47.242.155.183,2096,true,HKG,Asia Pacific,Hong Kong,68 ms,2329 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,300 ms,2310 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,2308 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,283 ms,2303 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,285 ms,2300 kB/s
8.219.126.240,8443,true,SIN,Asia Pacific,Singapore,282 ms,2300 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,280 ms,2291 kB/s
47.238.44.224,80,true,SIN,Asia Pacific,Singapore,77 ms,2288 kB/s
47.236.80.110,8443,true,SIN,Asia Pacific,Singapore,309 ms,2287 kB/s
8.219.153.237,2053,true,NRT,Asia Pacific,Tokyo,374 ms,2271 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,252 ms,2252 kB/s
47.236.146.249,443,true,SIN,Asia Pacific,Singapore,314 ms,2248 kB/s
8.222.193.65,2053,true,SIN,Asia Pacific,Singapore,287 ms,2222 kB/s
47.243.90.180,2083,true,HKG,Asia Pacific,Hong Kong,78 ms,2214 kB/s
47.245.102.52,2083,true,SIN,Asia Pacific,Singapore,311 ms,2206 kB/s
47.76.178.146,2053,true,HKG,Asia Pacific,Hong Kong,87 ms,2197 kB/s
47.76.178.146,2096,true,HKG,Asia Pacific,Hong Kong,87 ms,2192 kB/s
47.245.96.80,8443,true,SIN,Asia Pacific,Singapore,333 ms,2183 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,313 ms,2178 kB/s
8.219.153.237,2096,true,NRT,Asia Pacific,Tokyo,366 ms,2105 kB/s
47.76.255.235,80,true,SIN,Asia Pacific,Singapore,92 ms,2041 kB/s
47.243.74.220,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,2011 kB/s
8.218.3.12,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,1961 kB/s
8.219.170.232,2083,true,SIN,Asia Pacific,Singapore,305 ms,1951 kB/s
47.243.74.220,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,1949 kB/s
8.218.173.78,2083,true,HKG,Asia Pacific,Hong Kong,65 ms,1922 kB/s
47.238.41.59,80,true,SIN,Asia Pacific,Singapore,57 ms,1906 kB/s
8.219.237.250,2087,true,SIN,Asia Pacific,Singapore,295 ms,1903 kB/s
8.222.164.209,2053,true,SIN,Asia Pacific,Singapore,286 ms,1873 kB/s
47.76.94.15,2053,true,HKG,Asia Pacific,Hong Kong,69 ms,1859 kB/s
47.238.36.145,80,true,SIN,Asia Pacific,Singapore,60 ms,1843 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,299 ms,1836 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,1795 kB/s
8.210.3.24,8443,true,HKG,Asia Pacific,Hong Kong,66 ms,1737 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,1720 kB/s
47.76.32.108,2053,true,HKG,Asia Pacific,Hong Kong,65 ms,1702 kB/s
47.236.146.249,8443,true,SIN,Asia Pacific,Singapore,296 ms,1643 kB/s
47.76.26.26,2053,true,HKG,Asia Pacific,Hong Kong,94 ms,1621 kB/s
47.243.90.180,2053,true,HKG,Asia Pacific,Hong Kong,61 ms,1596 kB/s
47.245.102.52,2087,true,SIN,Asia Pacific,Singapore,312 ms,1570 kB/s
47.76.214.139,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,1324 kB/s
47.76.245.164,80,true,SIN,Asia Pacific,Singapore,103 ms,1273 kB/s
8.222.164.209,8443,true,SIN,Asia Pacific,Singapore,284 ms,1222 kB/s
47.76.204.76,2083,true,HKG,Asia Pacific,Hong Kong,107 ms,1123 kB/s
47.238.255.53,80,true,SIN,Asia Pacific,Singapore,55 ms,1110 kB/s
47.242.155.183,2053,true,HKG,Asia Pacific,Hong Kong,73 ms,1103 kB/s
47.76.218.163,443,true,HKG,Asia Pacific,Hong Kong,93 ms,1073 kB/s
47.76.178.146,2083,true,HKG,Asia Pacific,Hong Kong,87 ms,963 kB/s
8.222.193.65,2096,true,SIN,Asia Pacific,Singapore,294 ms,921 kB/s
47.242.155.183,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,918 kB/s
8.219.66.156,2087,true,NRT,Asia Pacific,Tokyo,359 ms,902 kB/s
8.210.48.107,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,876 kB/s
8.219.66.156,2053,true,NRT,Asia Pacific,Tokyo,371 ms,864 kB/s
47.76.146.1,2083,true,HKG,Asia Pacific,Hong Kong,67 ms,716 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,308 ms,710 kB/s
47.76.254.36,80,true,SIN,Asia Pacific,Singapore,90 ms,659 kB/s
47.237.92.26,2087,true,SIN,Asia Pacific,Singapore,299 ms,646 kB/s
8.222.208.38,2083,true,SIN,Asia Pacific,Singapore,303 ms,627 kB/s
47.236.146.249,2087,true,SIN,Asia Pacific,Singapore,315 ms,620 kB/s
8.218.63.172,443,true,HKG,Asia Pacific,Hong Kong,58 ms,617 kB/s
47.239.13.168,80,true,SIN,Asia Pacific,Singapore,59 ms,613 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,357 ms,610 kB/s
8.219.111.147,2053,true,SIN,Asia Pacific,Singapore,278 ms,607 kB/s
47.236.181.185,8443,true,SIN,Asia Pacific,Singapore,291 ms,547 kB/s
47.76.225.255,2083,true,HKG,Asia Pacific,Hong Kong,71 ms,544 kB/s
8.218.132.209,80,true,SIN,Asia Pacific,Singapore,63 ms,508 kB/s
47.238.36.250,80,true,SIN,Asia Pacific,Singapore,57 ms,479 kB/s
8.218.173.78,2096,true,HKG,Asia Pacific,Hong Kong,67 ms,473 kB/s
47.76.243.157,80,true,SIN,Asia Pacific,Singapore,104 ms,460 kB/s
47.76.214.139,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,396 kB/s
47.238.50.221,80,true,SIN,Asia Pacific,Singapore,101 ms,366 kB/s
47.76.247.16,80,true,SIN,Asia Pacific,Singapore,112 ms,355 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,96 ms,342 kB/s
8.218.173.78,8443,true,HKG,Asia Pacific,Hong Kong,66 ms,339 kB/s
47.76.214.139,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,313 kB/s
47.242.252.237,2083,true,HKG,Asia Pacific,Hong Kong,65 ms,310 kB/s
47.76.32.108,2087,true,HKG,Asia Pacific,Hong Kong,107 ms,310 kB/s
47.242.155.183,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,275 kB/s
47.238.48.58,80,true,SIN,Asia Pacific,Singapore,76 ms,265 kB/s
8.219.66.156,8443,true,NRT,Asia Pacific,Tokyo,364 ms,265 kB/s
8.222.214.231,2087,true,SIN,Asia Pacific,Singapore,299 ms,265 kB/s
8.219.99.169,2083,true,SIN,Asia Pacific,Singapore,291 ms,262 kB/s
47.243.90.180,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,262 kB/s
47.76.32.108,8443,true,HKG,Asia Pacific,Hong Kong,193 ms,259 kB/s
47.76.251.55,443,true,HKG,Asia Pacific,Hong Kong,89 ms,240 kB/s
8.219.111.147,2087,true,SIN,Asia Pacific,Singapore,300 ms,240 kB/s
47.238.49.85,80,true,SIN,Asia Pacific,Singapore,105 ms,234 kB/s
8.222.164.209,2083,true,SIN,Asia Pacific,Singapore,303 ms,233 kB/s
47.236.63.152,443,true,SIN,Asia Pacific,Singapore,283 ms,163 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,374 ms,160 kB/s
47.76.32.108,2096,true,HKG,Asia Pacific,Hong Kong,96 ms,157 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,310 ms,153 kB/s
8.210.48.107,2053,true,HKG,Asia Pacific,Hong Kong,53 ms,147 kB/s
8.210.48.107,2087,true,HKG,Asia Pacific,Hong Kong,54 ms,137 kB/s
8.219.240.160,443,true,SIN,Asia Pacific,Singapore,296 ms,118 kB/s
8.222.214.231,2083,true,SIN,Asia Pacific,Singapore,308 ms,64 kB/s
47.89.244.253,443,true,SJC,North America,San Jose,191 ms,42 kB/s
8.219.240.160,2053,true,SIN,Asia Pacific,Singapore,297 ms,34 kB/s
149.129.8.215,443,true,SJC,North America,San Jose,104 ms,32 kB/s
47.250.147.26,80,true,SIN,Asia Pacific,Singapore,168 ms,30 kB/s
47.250.57.45,80,true,SIN,Asia Pacific,Singapore,160 ms,30 kB/s
47.250.59.84,80,true,SIN,Asia Pacific,Singapore,230 ms,26 kB/s
47.57.14.118,443,true,SJC,North America,San Jose,70 ms,21 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,63 ms,16 kB/s
47.250.153.55,80,true,SIN,Asia Pacific,Singapore,182 ms,10 kB/s
47.250.152.215,80,true,SIN,Asia Pacific,Singapore,197 ms,8 kB/s
47.250.153.57,80,true,SIN,Asia Pacific,Singapore,181 ms,5 kB/s
47.250.12.116,80,true,SIN,Asia Pacific,Singapore,186 ms,4 kB/s
47.250.36.113,80,true,SIN,Asia Pacific,Singapore,170 ms,2 kB/s
47.243.90.180,2096,true,HKG,Asia Pacific,Hong Kong,71 ms,0 kB/s
47.76.227.128,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,0 kB/s
47.76.94.15,2083,true,HKG,Asia Pacific,Hong Kong,68 ms,0 kB/s
8.222.208.38,2053,true,SIN,Asia Pacific,Singapore,284 ms,0 kB/s
47.76.225.255,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,0 kB/s
47.76.37.57,2083,true,HKG,Asia Pacific,Hong Kong,188 ms,0 kB/s
47.76.98.98,2083,true,HKG,Asia Pacific,Hong Kong,69 ms,0 kB/s
47.76.249.116,80,true,SIN,Asia Pacific,Singapore,94 ms,0 kB/s
8.210.3.24,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
47.250.157.10,80,true,SIN,Asia Pacific,Singapore,168 ms,0 kB/s
8.219.177.205,2096,true,SIN,Asia Pacific,Singapore,423 ms,0 kB/s
8.219.240.160,2096,true,SIN,Asia Pacific,Singapore,304 ms,0 kB/s
47.76.214.139,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,0 kB/s
47.76.37.57,8443,true,HKG,Asia Pacific,Hong Kong,137 ms,0 kB/s
47.250.157.19,80,true,SIN,Asia Pacific,Singapore,161 ms,0 kB/s
