IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.218.126.53,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,6734 kB/s
47.243.186.171,2082,false,HKG,Asia Pacific,Hong Kong,61 ms,6703 kB/s
8.210.174.156,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,6689 kB/s
8.218.98.75,2082,false,HKG,Asia Pacific,Hong Kong,68 ms,6684 kB/s
47.243.206.150,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,6682 kB/s
47.243.60.150,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,6662 kB/s
47.242.107.109,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,6645 kB/s
47.236.180.24,8080,false,SIN,Asia Pacific,Singapore,300 ms,6642 kB/s
47.242.174.27,80,false,HKG,Asia Pacific,Hong Kong,66 ms,6639 kB/s
47.76.98.98,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,6636 kB/s
47.242.252.237,80,false,HKG,Asia Pacific,Hong Kong,65 ms,6611 kB/s
8.210.119.11,80,false,HKG,Asia Pacific,Hong Kong,61 ms,6606 kB/s
8.210.164.75,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,6591 kB/s
47.242.119.104,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,6591 kB/s
47.243.86.79,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,6588 kB/s
8.219.110.81,8080,false,SIN,Asia Pacific,Singapore,308 ms,6557 kB/s
47.243.70.186,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,6518 kB/s
47.243.234.9,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,6511 kB/s
47.243.60.150,2082,false,HKG,Asia Pacific,Hong Kong,67 ms,6501 kB/s
47.76.26.26,2082,false,HKG,Asia Pacific,Hong Kong,68 ms,6481 kB/s
8.219.117.198,2082,false,SIN,Asia Pacific,Singapore,306 ms,6476 kB/s
47.243.139.243,2052,false,HKG,Asia Pacific,Hong Kong,68 ms,6466 kB/s
8.217.145.40,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,6465 kB/s
8.222.165.117,2052,false,SIN,Asia Pacific,Singapore,279 ms,6462 kB/s
8.218.136.25,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,6462 kB/s
47.76.98.98,2082,false,HKG,Asia Pacific,Hong Kong,55 ms,6456 kB/s
8.219.11.158,2095,false,SIN,Asia Pacific,Singapore,292 ms,6446 kB/s
8.219.50.180,8080,false,SIN,Asia Pacific,Singapore,289 ms,6445 kB/s
47.236.180.24,8880,false,SIN,Asia Pacific,Singapore,303 ms,6445 kB/s
47.242.174.27,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,6441 kB/s
47.242.36.78,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,6435 kB/s
8.218.1.163,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,6432 kB/s
8.210.207.214,2086,false,HKG,Asia Pacific,Hong Kong,57 ms,6421 kB/s
8.210.34.188,8080,false,HKG,Asia Pacific,Hong Kong,58 ms,6420 kB/s
8.219.114.201,8880,false,SIN,Asia Pacific,Singapore,277 ms,6414 kB/s
47.237.95.156,2086,false,SIN,Asia Pacific,Singapore,280 ms,6412 kB/s
8.219.11.158,8080,false,SIN,Asia Pacific,Singapore,294 ms,6412 kB/s
47.237.92.26,2095,false,SIN,Asia Pacific,Singapore,302 ms,6411 kB/s
8.218.48.92,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,6411 kB/s
8.217.121.207,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,6399 kB/s
47.242.252.237,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,6398 kB/s
8.210.174.156,80,false,HKG,Asia Pacific,Hong Kong,61 ms,6396 kB/s
8.217.85.14,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,6383 kB/s
8.217.49.34,8880,false,HKG,Asia Pacific,Hong Kong,59 ms,6383 kB/s
8.218.222.36,2095,false,HKG,Asia Pacific,Hong Kong,60 ms,6374 kB/s
8.218.155.238,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,6367 kB/s
8.217.147.230,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,6366 kB/s
8.222.193.65,2052,false,SIN,Asia Pacific,Singapore,296 ms,6365 kB/s
8.219.248.47,2082,false,SIN,Asia Pacific,Singapore,304 ms,6364 kB/s
8.218.52.115,2095,false,HKG,Asia Pacific,Hong Kong,63 ms,6355 kB/s
8.222.215.228,2082,false,SIN,Asia Pacific,Singapore,278 ms,6344 kB/s
8.219.120.87,8880,false,SIN,Asia Pacific,Singapore,301 ms,6341 kB/s
8.219.113.232,2052,false,SIN,Asia Pacific,Singapore,289 ms,6336 kB/s
8.218.3.198,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,6335 kB/s
8.218.143.10,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,6328 kB/s
47.237.10.1,2082,false,SIN,Asia Pacific,Singapore,285 ms,6326 kB/s
8.219.67.133,8880,false,SIN,Asia Pacific,Singapore,302 ms,6323 kB/s
8.218.243.95,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,6316 kB/s
8.218.173.78,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,6313 kB/s
47.76.29.115,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,6312 kB/s
8.219.107.135,2086,false,SIN,Asia Pacific,Singapore,281 ms,6312 kB/s
47.76.214.139,80,false,HKG,Asia Pacific,Hong Kong,63 ms,6310 kB/s
8.219.139.13,8880,false,SIN,Asia Pacific,Singapore,277 ms,6307 kB/s
47.242.36.78,8880,false,HKG,Asia Pacific,Hong Kong,59 ms,6302 kB/s
47.242.125.241,2082,false,HKG,Asia Pacific,Hong Kong,69 ms,6300 kB/s
8.210.3.24,2082,false,HKG,Asia Pacific,Hong Kong,61 ms,6299 kB/s
8.218.243.95,8880,false,HKG,Asia Pacific,Hong Kong,56 ms,6299 kB/s
47.243.139.243,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,6298 kB/s
8.222.237.131,2095,false,SIN,Asia Pacific,Singapore,282 ms,6291 kB/s
8.219.117.198,2086,false,SIN,Asia Pacific,Singapore,306 ms,6270 kB/s
8.219.248.47,2052,false,SIN,Asia Pacific,Singapore,284 ms,6270 kB/s
8.219.111.175,2082,false,SIN,Asia Pacific,Singapore,283 ms,6268 kB/s
8.219.174.213,2086,false,SIN,Asia Pacific,Singapore,293 ms,6263 kB/s
8.218.136.25,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,6255 kB/s
8.219.60.54,2086,false,SIN,Asia Pacific,Singapore,286 ms,6249 kB/s
47.76.227.128,2082,false,HKG,Asia Pacific,Hong Kong,69 ms,6238 kB/s
8.219.220.88,2052,false,SIN,Asia Pacific,Singapore,287 ms,6229 kB/s
8.217.121.207,2095,false,HKG,Asia Pacific,Hong Kong,63 ms,6226 kB/s
8.218.85.128,8880,false,HKG,Asia Pacific,Hong Kong,63 ms,6211 kB/s
47.243.27.217,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,6205 kB/s
47.76.225.255,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,6203 kB/s
47.238.6.58,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,6203 kB/s
8.210.107.246,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,6188 kB/s
8.219.111.147,2052,false,SIN,Asia Pacific,Singapore,286 ms,6188 kB/s
47.242.252.237,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,6176 kB/s
8.218.181.189,8080,false,HKG,Asia Pacific,Hong Kong,67 ms,6170 kB/s
8.210.175.109,80,false,HKG,Asia Pacific,Hong Kong,61 ms,6167 kB/s
8.219.107.135,80,false,SIN,Asia Pacific,Singapore,286 ms,6164 kB/s
8.210.55.134,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,6145 kB/s
8.218.65.171,2082,false,HKG,Asia Pacific,Hong Kong,68 ms,6136 kB/s
8.210.164.75,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,6110 kB/s
47.243.139.85,8880,false,HKG,Asia Pacific,Hong Kong,77 ms,6107 kB/s
47.243.255.224,2086,false,HKG,Asia Pacific,Hong Kong,65 ms,6100 kB/s
47.243.90.180,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,6082 kB/s
8.222.136.247,2052,false,SIN,Asia Pacific,Singapore,289 ms,6081 kB/s
8.217.251.62,2086,false,HKG,Asia Pacific,Hong Kong,65 ms,6076 kB/s
47.236.118.216,80,false,SIN,Asia Pacific,Singapore,297 ms,6074 kB/s
8.210.21.65,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,6070 kB/s
8.210.66.190,2086,false,HKG,Asia Pacific,Hong Kong,64 ms,6063 kB/s
47.243.91.58,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,6052 kB/s
8.219.198.139,8080,false,SIN,Asia Pacific,Singapore,287 ms,6038 kB/s
47.243.60.150,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,6037 kB/s
47.236.144.156,8080,false,SIN,Asia Pacific,Singapore,282 ms,6034 kB/s
8.219.86.200,2052,false,SIN,Asia Pacific,Singapore,298 ms,6034 kB/s
8.219.120.87,80,false,SIN,Asia Pacific,Singapore,280 ms,6033 kB/s
47.243.169.63,80,false,HKG,Asia Pacific,Hong Kong,60 ms,6021 kB/s
47.242.107.109,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,6021 kB/s
8.210.48.107,8080,false,HKG,Asia Pacific,Hong Kong,58 ms,6018 kB/s
47.242.171.94,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,6009 kB/s
8.219.107.135,2052,false,SIN,Asia Pacific,Singapore,290 ms,6008 kB/s
8.217.85.14,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,6003 kB/s
8.217.149.28,8080,false,HKG,Asia Pacific,Hong Kong,57 ms,5996 kB/s
8.218.228.152,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,5996 kB/s
8.219.113.232,8080,false,SIN,Asia Pacific,Singapore,303 ms,5992 kB/s
8.219.93.5,2052,false,SIN,Asia Pacific,Singapore,283 ms,5991 kB/s
8.222.167.147,2086,false,SIN,Asia Pacific,Singapore,273 ms,5990 kB/s
8.210.63.130,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,5986 kB/s
8.219.117.198,8080,false,SIN,Asia Pacific,Singapore,308 ms,5985 kB/s
47.242.155.183,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,5981 kB/s
8.219.83.71,2086,false,SIN,Asia Pacific,Singapore,281 ms,5974 kB/s
8.219.50.180,80,false,SIN,Asia Pacific,Singapore,298 ms,5973 kB/s
8.218.65.171,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,5970 kB/s
8.217.127.73,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,5950 kB/s
8.219.0.162,8880,false,SIN,Asia Pacific,Singapore,302 ms,5939 kB/s
8.217.221.165,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,5938 kB/s
47.76.32.108,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,5937 kB/s
47.237.92.26,2052,false,SIN,Asia Pacific,Singapore,297 ms,5926 kB/s
47.238.43.79,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,5923 kB/s
8.217.147.230,80,false,HKG,Asia Pacific,Hong Kong,61 ms,5907 kB/s
8.222.208.38,2095,false,SIN,Asia Pacific,Singapore,280 ms,5907 kB/s
8.219.60.54,2052,false,SIN,Asia Pacific,Singapore,279 ms,5905 kB/s
8.219.104.37,2082,false,SIN,Asia Pacific,Singapore,285 ms,5902 kB/s
47.237.95.156,2052,false,SIN,Asia Pacific,Singapore,304 ms,5899 kB/s
47.242.79.71,8080,false,HKG,Asia Pacific,Hong Kong,81 ms,5899 kB/s
8.217.154.218,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,5896 kB/s
47.236.104.11,8880,false,SIN,Asia Pacific,Singapore,297 ms,5895 kB/s
8.222.244.192,2086,false,SIN,Asia Pacific,Singapore,292 ms,5894 kB/s
8.217.181.213,8080,false,HKG,Asia Pacific,Hong Kong,67 ms,5893 kB/s
8.219.220.88,2082,false,SIN,Asia Pacific,Singapore,296 ms,5892 kB/s
8.222.144.50,2095,false,SIN,Asia Pacific,Singapore,300 ms,5888 kB/s
47.243.139.85,2052,false,HKG,Asia Pacific,Hong Kong,77 ms,5886 kB/s
47.243.169.63,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,5879 kB/s
8.218.52.115,8880,false,HKG,Asia Pacific,Hong Kong,74 ms,5873 kB/s
8.210.55.134,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,5865 kB/s
47.245.105.224,2052,false,SIN,Asia Pacific,Singapore,312 ms,5864 kB/s
47.243.70.186,8880,false,HKG,Asia Pacific,Hong Kong,59 ms,5862 kB/s
8.219.163.195,80,false,SIN,Asia Pacific,Singapore,276 ms,5857 kB/s
8.219.139.13,2086,false,SIN,Asia Pacific,Singapore,295 ms,5851 kB/s
8.219.132.64,8880,false,SIN,Asia Pacific,Singapore,287 ms,5845 kB/s
8.210.107.246,2095,false,HKG,Asia Pacific,Hong Kong,55 ms,5843 kB/s
8.219.93.5,80,false,SIN,Asia Pacific,Singapore,284 ms,5843 kB/s
8.219.0.48,2052,false,SIN,Asia Pacific,Singapore,274 ms,5840 kB/s
8.219.113.232,80,false,SIN,Asia Pacific,Singapore,295 ms,5836 kB/s
47.242.174.27,2082,false,HKG,Asia Pacific,Hong Kong,68 ms,5830 kB/s
47.243.234.9,8080,false,HKG,Asia Pacific,Hong Kong,55 ms,5823 kB/s
8.219.110.81,2095,false,SIN,Asia Pacific,Singapore,311 ms,5819 kB/s
8.218.18.235,2095,false,HKG,Asia Pacific,Hong Kong,55 ms,5814 kB/s
47.243.18.199,2086,false,HKG,Asia Pacific,Hong Kong,72 ms,5807 kB/s
8.219.237.250,2082,false,SIN,Asia Pacific,Singapore,306 ms,5803 kB/s
47.242.7.162,2052,false,HKG,Asia Pacific,Hong Kong,67 ms,5799 kB/s
8.219.120.87,2052,false,SIN,Asia Pacific,Singapore,297 ms,5799 kB/s
8.222.237.131,8080,false,SIN,Asia Pacific,Singapore,298 ms,5796 kB/s
47.243.5.154,2052,false,HKG,Asia Pacific,Hong Kong,75 ms,5795 kB/s
8.219.142.191,2086,false,SIN,Asia Pacific,Singapore,293 ms,5793 kB/s
47.243.186.171,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,5787 kB/s
47.76.98.98,8080,false,HKG,Asia Pacific,Hong Kong,55 ms,5783 kB/s
8.222.208.38,80,false,SIN,Asia Pacific,Singapore,295 ms,5782 kB/s
8.210.207.214,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,5782 kB/s
47.243.243.14,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,5778 kB/s
47.243.5.154,8080,false,HKG,Asia Pacific,Hong Kong,68 ms,5775 kB/s
8.217.164.10,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,5775 kB/s
8.218.74.119,80,false,HKG,Asia Pacific,Hong Kong,68 ms,5774 kB/s
47.245.118.70,80,false,SIN,Asia Pacific,Singapore,299 ms,5766 kB/s
8.219.98.13,2086,false,SIN,Asia Pacific,Singapore,286 ms,5765 kB/s
47.237.95.146,80,false,SIN,Asia Pacific,Singapore,302 ms,5757 kB/s
47.242.183.7,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,5757 kB/s
8.222.249.190,2052,false,SIN,Asia Pacific,Singapore,294 ms,5754 kB/s
8.219.248.47,2086,false,SIN,Asia Pacific,Singapore,289 ms,5749 kB/s
47.237.11.182,2082,false,SIN,Asia Pacific,Singapore,277 ms,5747 kB/s
47.236.144.196,2082,false,SIN,Asia Pacific,Singapore,302 ms,5746 kB/s
8.222.215.228,2052,false,SIN,Asia Pacific,Singapore,286 ms,5746 kB/s
8.217.181.213,8880,false,HKG,Asia Pacific,Hong Kong,70 ms,5743 kB/s
8.218.155.238,2052,false,HKG,Asia Pacific,Hong Kong,55 ms,5741 kB/s
8.219.60.54,8080,false,SIN,Asia Pacific,Singapore,283 ms,5738 kB/s
8.219.139.13,8080,false,SIN,Asia Pacific,Singapore,283 ms,5732 kB/s
8.219.139.13,2095,false,SIN,Asia Pacific,Singapore,298 ms,5731 kB/s
8.218.53.110,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,5727 kB/s
8.219.100.168,2086,false,SIN,Asia Pacific,Singapore,308 ms,5723 kB/s
8.219.139.13,2082,false,SIN,Asia Pacific,Singapore,281 ms,5712 kB/s
47.236.118.216,2095,false,SIN,Asia Pacific,Singapore,299 ms,5699 kB/s
8.210.85.222,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,5687 kB/s
47.242.36.78,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,5685 kB/s
8.222.136.247,80,false,SIN,Asia Pacific,Singapore,291 ms,5676 kB/s
8.210.55.134,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,5675 kB/s
8.219.83.201,2086,false,SIN,Asia Pacific,Singapore,307 ms,5663 kB/s
47.245.84.124,2095,false,SIN,Asia Pacific,Singapore,310 ms,5659 kB/s
47.237.95.156,80,false,SIN,Asia Pacific,Singapore,288 ms,5658 kB/s
8.219.114.201,2095,false,SIN,Asia Pacific,Singapore,298 ms,5649 kB/s
47.236.102.102,80,false,SIN,Asia Pacific,Singapore,303 ms,5647 kB/s
8.210.65.1,80,false,HKG,Asia Pacific,Hong Kong,61 ms,5643 kB/s
8.218.211.17,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,5640 kB/s
47.236.144.196,2086,false,SIN,Asia Pacific,Singapore,309 ms,5639 kB/s
8.219.104.37,2086,false,SIN,Asia Pacific,Singapore,285 ms,5632 kB/s
8.219.161.129,8080,false,SIN,Asia Pacific,Singapore,305 ms,5629 kB/s
8.210.55.134,80,false,HKG,Asia Pacific,Hong Kong,61 ms,5618 kB/s
47.243.203.119,8080,false,HKG,Asia Pacific,Hong Kong,75 ms,5611 kB/s
8.222.164.209,2052,false,SIN,Asia Pacific,Singapore,283 ms,5611 kB/s
8.219.86.200,8080,false,SIN,Asia Pacific,Singapore,310 ms,5607 kB/s
8.219.40.37,80,false,SIN,Asia Pacific,Singapore,278 ms,5602 kB/s
47.236.146.249,80,false,SIN,Asia Pacific,Singapore,280 ms,5597 kB/s
47.236.144.208,2082,false,SIN,Asia Pacific,Singapore,282 ms,5594 kB/s
8.210.244.38,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,5589 kB/s
47.236.165.25,2052,false,SIN,Asia Pacific,Singapore,297 ms,5589 kB/s
8.219.126.240,8080,false,SIN,Asia Pacific,Singapore,299 ms,5584 kB/s
47.242.17.250,8880,false,HKG,Asia Pacific,Hong Kong,58 ms,5584 kB/s
47.236.172.71,80,false,SIN,Asia Pacific,Singapore,301 ms,5580 kB/s
8.217.250.5,2086,false,HKG,Asia Pacific,Hong Kong,64 ms,5579 kB/s
8.222.237.131,2052,false,SIN,Asia Pacific,Singapore,285 ms,5571 kB/s
8.219.83.201,8080,false,SIN,Asia Pacific,Singapore,283 ms,5564 kB/s
8.222.237.131,2082,false,SIN,Asia Pacific,Singapore,285 ms,5562 kB/s
47.243.91.58,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,5556 kB/s
8.219.6.150,2082,false,SIN,Asia Pacific,Singapore,288 ms,5549 kB/s
8.219.139.13,80,false,SIN,Asia Pacific,Singapore,303 ms,5549 kB/s
8.222.187.4,2082,false,SIN,Asia Pacific,Singapore,280 ms,5545 kB/s
8.222.136.247,2082,false,SIN,Asia Pacific,Singapore,289 ms,5544 kB/s
8.219.78.188,8080,false,SIN,Asia Pacific,Singapore,308 ms,5543 kB/s
8.218.3.12,80,false,HKG,Asia Pacific,Hong Kong,62 ms,5542 kB/s
8.219.210.64,8880,false,SIN,Asia Pacific,Singapore,285 ms,5542 kB/s
8.219.87.30,2082,false,SIN,Asia Pacific,Singapore,286 ms,5539 kB/s
8.219.124.227,8880,false,SIN,Asia Pacific,Singapore,285 ms,5539 kB/s
8.217.154.218,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,5535 kB/s
8.218.1.163,2052,false,HKG,Asia Pacific,Hong Kong,69 ms,5533 kB/s
8.218.8.142,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,5532 kB/s
47.243.18.199,80,false,HKG,Asia Pacific,Hong Kong,62 ms,5531 kB/s
8.219.111.175,2086,false,SIN,Asia Pacific,Singapore,280 ms,5526 kB/s
8.219.163.195,2095,false,SIN,Asia Pacific,Singapore,293 ms,5524 kB/s
8.219.237.250,8080,false,SIN,Asia Pacific,Singapore,305 ms,5523 kB/s
47.242.17.250,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,5523 kB/s
8.222.146.222,8880,false,SIN,Asia Pacific,Singapore,288 ms,5521 kB/s
8.219.142.191,2082,false,SIN,Asia Pacific,Singapore,303 ms,5517 kB/s
8.219.117.198,80,false,SIN,Asia Pacific,Singapore,303 ms,5517 kB/s
8.219.220.88,8880,false,SIN,Asia Pacific,Singapore,295 ms,5517 kB/s
8.219.163.195,2086,false,SIN,Asia Pacific,Singapore,278 ms,5512 kB/s
47.236.169.141,2095,false,SIN,Asia Pacific,Singapore,310 ms,5511 kB/s
47.245.84.124,2052,false,SIN,Asia Pacific,Singapore,295 ms,5509 kB/s
47.243.74.220,80,false,HKG,Asia Pacific,Hong Kong,59 ms,5507 kB/s
8.222.150.197,2082,false,SIN,Asia Pacific,Singapore,297 ms,5503 kB/s
8.219.87.30,8880,false,SIN,Asia Pacific,Singapore,286 ms,5500 kB/s
8.219.110.81,8880,false,SIN,Asia Pacific,Singapore,304 ms,5491 kB/s
47.245.84.124,2082,false,SIN,Asia Pacific,Singapore,294 ms,5490 kB/s
8.218.3.198,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,5490 kB/s
8.219.87.30,2086,false,SIN,Asia Pacific,Singapore,313 ms,5489 kB/s
47.243.243.14,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,5487 kB/s
8.218.22.210,8080,false,HKG,Asia Pacific,Hong Kong,61 ms,5481 kB/s
47.242.119.104,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,5480 kB/s
47.237.95.156,2082,false,SIN,Asia Pacific,Singapore,303 ms,5480 kB/s
47.76.49.246,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,5476 kB/s
8.219.161.129,2052,false,SIN,Asia Pacific,Singapore,305 ms,5475 kB/s
8.222.187.4,2095,false,SIN,Asia Pacific,Singapore,293 ms,5474 kB/s
47.237.121.38,2082,false,SIN,Asia Pacific,Singapore,283 ms,5471 kB/s
8.218.142.253,2052,false,HKG,Asia Pacific,Hong Kong,69 ms,5470 kB/s
47.242.155.183,80,false,HKG,Asia Pacific,Hong Kong,66 ms,5470 kB/s
8.219.49.65,8880,false,SIN,Asia Pacific,Singapore,279 ms,5469 kB/s
47.236.123.133,2086,false,SIN,Asia Pacific,Singapore,303 ms,5467 kB/s
47.243.90.180,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,5465 kB/s
47.237.95.146,8880,false,SIN,Asia Pacific,Singapore,282 ms,5465 kB/s
8.222.150.197,2086,false,SIN,Asia Pacific,Singapore,299 ms,5457 kB/s
8.219.107.135,8080,false,SIN,Asia Pacific,Singapore,298 ms,5452 kB/s
47.236.117.48,80,false,SIN,Asia Pacific,Singapore,300 ms,5451 kB/s
8.210.174.156,8880,false,HKG,Asia Pacific,Hong Kong,56 ms,5451 kB/s
8.219.132.64,80,false,SIN,Asia Pacific,Singapore,300 ms,5451 kB/s
47.236.10.182,80,false,SIN,Asia Pacific,Singapore,307 ms,5449 kB/s
47.245.96.80,2095,false,SIN,Asia Pacific,Singapore,319 ms,5448 kB/s
8.219.110.81,2052,false,SIN,Asia Pacific,Singapore,290 ms,5441 kB/s
8.219.161.129,2086,false,SIN,Asia Pacific,Singapore,293 ms,5435 kB/s
47.236.121.23,2082,false,SIN,Asia Pacific,Singapore,303 ms,5435 kB/s
47.245.84.124,80,false,SIN,Asia Pacific,Singapore,314 ms,5435 kB/s
47.243.70.186,2086,false,HKG,Asia Pacific,Hong Kong,64 ms,5427 kB/s
8.218.65.171,8080,false,HKG,Asia Pacific,Hong Kong,59 ms,5427 kB/s
8.219.87.30,2095,false,SIN,Asia Pacific,Singapore,282 ms,5427 kB/s
47.236.5.223,8880,false,SIN,Asia Pacific,Singapore,280 ms,5425 kB/s
8.217.72.0,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,5421 kB/s
8.219.97.50,2086,false,SIN,Asia Pacific,Singapore,299 ms,5417 kB/s
8.219.78.188,2052,false,SIN,Asia Pacific,Singapore,297 ms,5416 kB/s
8.218.142.253,8080,false,HKG,Asia Pacific,Hong Kong,57 ms,5413 kB/s
8.219.113.232,2086,false,SIN,Asia Pacific,Singapore,301 ms,5402 kB/s
47.236.144.48,8080,false,SIN,Asia Pacific,Singapore,302 ms,5397 kB/s
8.222.150.197,8080,false,SIN,Asia Pacific,Singapore,303 ms,5397 kB/s
8.219.209.14,8080,false,SIN,Asia Pacific,Singapore,281 ms,5395 kB/s
47.236.118.216,2086,false,SIN,Asia Pacific,Singapore,305 ms,5393 kB/s
8.218.207.169,8080,false,HKG,Asia Pacific,Hong Kong,59 ms,5385 kB/s
47.76.203.101,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,5384 kB/s
8.219.78.188,2095,false,SIN,Asia Pacific,Singapore,296 ms,5381 kB/s
8.218.52.115,80,false,HKG,Asia Pacific,Hong Kong,72 ms,5372 kB/s
8.219.122.55,8880,false,SIN,Asia Pacific,Singapore,284 ms,5369 kB/s
47.243.60.150,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,5367 kB/s
47.243.169.63,8080,false,HKG,Asia Pacific,Hong Kong,64 ms,5366 kB/s
8.219.83.71,2052,false,SIN,Asia Pacific,Singapore,307 ms,5366 kB/s
47.237.84.173,80,false,SIN,Asia Pacific,Singapore,304 ms,5363 kB/s
8.219.124.227,2082,false,SIN,Asia Pacific,Singapore,294 ms,5361 kB/s
8.222.146.222,8080,false,SIN,Asia Pacific,Singapore,302 ms,5360 kB/s
8.210.34.188,2095,false,HKG,Asia Pacific,Hong Kong,65 ms,5360 kB/s
8.219.87.30,8080,false,SIN,Asia Pacific,Singapore,307 ms,5359 kB/s
8.222.134.170,2052,false,SIN,Asia Pacific,Singapore,275 ms,5359 kB/s
8.219.1.92,8080,false,SIN,Asia Pacific,Singapore,297 ms,5356 kB/s
47.236.144.196,80,false,SIN,Asia Pacific,Singapore,287 ms,5350 kB/s
8.217.121.207,2086,false,HKG,Asia Pacific,Hong Kong,66 ms,5350 kB/s
8.222.215.228,80,false,SIN,Asia Pacific,Singapore,279 ms,5350 kB/s
47.237.121.38,2086,false,SIN,Asia Pacific,Singapore,286 ms,5344 kB/s
47.243.51.171,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,5342 kB/s
47.242.174.27,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,5330 kB/s
8.219.111.175,80,false,SIN,Asia Pacific,Singapore,291 ms,5328 kB/s
8.219.122.55,80,false,SIN,Asia Pacific,Singapore,309 ms,5325 kB/s
8.219.117.198,8880,false,SIN,Asia Pacific,Singapore,284 ms,5325 kB/s
8.219.107.135,2095,false,SIN,Asia Pacific,Singapore,302 ms,5325 kB/s
8.217.164.10,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,5325 kB/s
8.219.139.13,2052,false,SIN,Asia Pacific,Singapore,293 ms,5322 kB/s
8.219.161.129,8880,false,SIN,Asia Pacific,Singapore,284 ms,5321 kB/s
